row;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;Wifi;AC;Beachfront;Garden;Ocean View;Netflix;Pet Friendly;Balcony;Parking;Terrace;Swimming Pool;Mountain View;TV;Lake View;Gym;Breakfast Included;Patio
1;family home in canning vale;284743;Rudy And Lina;Western Australia;GOSNELLS;-32.07628;115.932;Private room;80;1;8;2024-02-22;0.05;1;362;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0
2;Palmerston Paradise;474393;Anne;Western Australia;VINCENT;-31.942358;115.858208;Private room;85;2;234;2024-06-10;1.46;2;30;21;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0
3;Executive Large Single Rm  very comfortableclean;602975;Mary;Western Australia;JOONDALUP;-31.8155;115.74252;Private room;65;2;40;2023-11-21;0.25;2;353;9;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0
4;Leela premium 2 BR spa Villa;688591;Gadi;Western Australia;DENMARK;-34.9844;117.35222;Entire home/apt;280;2;12;2024-06-03;0.18;4;310;2;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0
5;20 Minutes walk to Perth City;773536;Eugene And Terry;Western Australia;VINCENT;-31.93354337585169;115.86542072132944;Private room;100;2;204;2024-06-09;1.3;1;261;26;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0
6;Serena St Beach House Falcon Bay;827051;Carol;Western Australia;MANDURAH;-32.58661;115.65384;Entire home/apt;160;2;68;2024-04-30;0.48;2;321;14;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0
7;The Apple  Heritage Home 8 Acres;747002;Aimee;Western Australia;BRIDGETOWN-GREENBUSHES;-33.97094;116.148;Entire home/apt;286;2;193;2024-06-19;1.47;1;260;23;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0
8;Two Adjacent Rooms for Single Person or Couple;1331712;Steve;Western Australia;MELVILLE;-32.03664;115.80028;Private room;49;5;54;2024-05-20;0.36;1;40;13;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;1
9;YOUR OWN SUITE OF ROOMS;256425;Felicia;Western Australia;EAST FREMANTLE;-32.03692;115.76475;Private room;129;30;14;2024-02-29;0.1;1;364;3;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1
10;Back Beach Cottage;1337347;Nicolas;Western Australia;GINGIN;-31.02462;115.33617;Entire home/apt;181;7;2;2016-01-18;0.02;1;357;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0
11;Live Like a Local;1430540;Trish;Western Australia;FREMANTLE;-32.06245;115.74915;Private room;72;4;219;2024-06-02;1.51;4;5;12;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1
12;CoSy Vintage Room;1430540;Trish;Western Australia;FREMANTLE;-32.06055;115.74953;Private room;68;2;323;2024-05-28;2.13;4;4;21;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1
